Id,Label,timeset,country,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
DAIMLER AG,DAIMLER AG,,DE,13,0.207032,0.230863,0.011982,1888
ASAHI GLASS CO LTD,ASAHI GLASS CO LTD,,JP,13,0.193096,0.21258,0.00261,1183
STATOIL AS,STATOIL AS,,NO,19,0.10259,0.105993,0.001418,2110
EQUOS RESEARCH KK,EQUOS RESEARCH KK,,JP,14,0.172367,0.187786,0.000419,0
THE CALIFORNIA INST OF TECH,THE CALIFORNIA INST OF TECH,,US,14,0.17783,0.190196,0.004378,1086
IDA TECH LLC,IDA TECH LLC,,US,15,0.156252,0.167442,0.001368,1241
DELPHI TECH INC,DELPHI TECH INC,,US,13,0.185834,0.200021,0.003236,1281
SANYO CHEMICAL IND LTD,SANYO CHEMICAL IND LTD,,JP,1,1,1,0,1869
LANGE DAVID,LANGE DAVID,,CA,0,0,0,0,1
GILLETTE CO,GILLETTE CO,,US,14,0.16814,0.177159,0.002116,1151
FRAUNHOFER GES FORSCHUNG,FRAUNHOFER GES FORSCHUNG,,DE,13,0.191132,0.210991,0.009878,28
SHINKO ELECTRIC INDUSTRY CO,SHINKO ELECTRIC INDUSTRY CO,,JP,16,0.12323,0.128099,0.000151,1908
ERMAKOV SERGEJ ANATOL EVICH,ERMAKOV SERGEJ ANATOL EVICH,,RU,0,0,0,0,2
NANODYNAMICS ENERGY INC,NANODYNAMICS ENERGY INC,,US,14,0.169255,0.179399,0.000125,50
OSAKA GAS CO LTD,OSAKA GAS CO LTD,,JP,14,0.177645,0.194276,0.002173,1393
SABIK INFORMATIONSSYSTEME GMBH,SABIK INFORMATIONSSYSTEME GMBH,,DE,1,1,1,0,3
GORE ENTERPRISE HOLDINGS INC,GORE ENTERPRISE HOLDINGS INC,,US,14,0.182246,0.196272,0.00117,1093
NUCELLSYS GMBH,NUCELLSYS GMBH,,DE,14,0.184806,0.2009,0.000576,1888
GM GLOBAL TECH OPERATIONS LLC,GM GLOBAL TECH OPERATIONS LLC,,US,12,0.239937,0.27412,0.067054,1147
ROLLS ROYCE FUEL CELL SYSTEMS,ROLLS ROYCE FUEL CELL SYSTEMS,,GB,13,0.171473,0.182689,0.001316,2030
YAMAHA MOTOR CO LTD,YAMAHA MOTOR CO LTD,,JP,14,0.169424,0.184292,0.001032,997
SAMSUNG SDI CO LTD,SAMSUNG SDI CO LTD,,KR,12,0.220679,0.249702,0.025819,1073
DEUTSCH ZENTR LUFT & RAUMFAHRT,DEUTSCH ZENTR LUFT & RAUMFAHRT,,DE,14,0.178029,0.191711,0.002653,1017
DALIAN CHEMICAL PHYSICS INST,DALIAN CHEMICAL PHYSICS INST,,CN,14,0.184595,0.200644,0.006516,1890
TORAY INDUSTRIES,TORAY INDUSTRIES,,JP,13,0.188855,0.205753,0.005011,12
UNIV TIANJIN,UNIV TIANJIN,,CN,15,0.137659,0.144068,0.000981,998
FORD GLOBAL TECHNOLOGIE LLC,FORD GLOBAL TECHNOLOGIE LLC,,US,13,0.209473,0.234779,0.021031,998
CERAMIC FUEL CELLS LTD,CERAMIC FUEL CELLS LTD,,FR,12,0.198347,0.221219,0.024162,4
ODIN CORP SARL,ODIN CORP SARL,,FR,2,0.666667,0.75,0,5
ELECTRO POWER SYSTEMS SPA,ELECTRO POWER SYSTEMS SPA,,IT,3,0.806452,0.893333,0,1609
UNIV NANJING TECHNOLOGY,UNIV NANJING TECHNOLOGY,,CN,1,1,1,0,1870
DMC2 DEGUSSA METALS CATALYSTS,DMC2 DEGUSSA METALS CATALYSTS,,DE,15,0.158815,0.168435,0.000119,1393
NITTO DENKO CORP,NITTO DENKO CORP,,JP,14,0.17888,0.195481,0.000904,1080
CEAP BV,CEAP BV,,NL,1,1,1,0,6
ULVAC INC,ULVAC INC,,JP,16,0.137301,0.144889,0.000026,22
KIYOSHI AOKI,KIYOSHI AOKI,,JP,16,0.137301,0.144889,0.000026,22
UNIV CALIFORNIA,UNIV CALIFORNIA,,US,12,0.221916,0.244341,0.022409,1179
MITSUBISHI CHEM CORP,MITSUBISHI CHEM CORP,,JP,14,0.165188,0.180198,0.0007,2767
SIEMENS AG,SIEMENS AG,,DE,13,0.189754,0.209658,0.011545,1212
AMERICAN POWER CONV CORP,AMERICAN POWER CONV CORP,,US,17,0.116826,0.120383,0.000079,1032
HYOSUNG CORP,HYOSUNG CORP,,KR,15,0.146205,0.154909,0.000173,1047
UNIV NORTH TEXAS,UNIV NORTH TEXAS,,US,17,0.114396,0.117282,0.000053,1151
PRAXAIR TECHNOLOGY INC,PRAXAIR TECHNOLOGY INC,,US,14,0.176186,0.18984,0.006162,10
BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,,US,13,0.199217,0.217048,0.007302,1281
UBE INDUSTRIES,UBE INDUSTRIES,,JP,14,0.173516,0.187679,0.000479,0
STIEBEL ELTRON GMBH & CO KG,STIEBEL ELTRON GMBH & CO KG,,DE,1,1,1,0,1871
FIAT RICERCHE,FIAT RICERCHE,,IT,1,1,1,0,2049
FEAG GMBH,FEAG GMBH,,DE,14,0.161657,0.171872,0,1212
UMICORE AG & CO KG,UMICORE AG & CO KG,,DE,14,0.172282,0.185881,0.002337,1393
MAN TRUCK & BUS AG,MAN TRUCK & BUS AG,,DE,2,0.947368,0.972222,0,7
ROHM & HAAS,ROHM & HAAS,,US,1,1,1,0,30
HITACHI METALS LTD,HITACHI METALS LTD,,JP,16,0.132927,0.1405,0.000302,17
EBERSPAECHER J GMBH & CO KG,EBERSPAECHER J GMBH & CO KG,,DE,14,0.166856,0.17769,0.000164,1888
UNIV SHANGHAI JIAOTONG,UNIV SHANGHAI JIAOTONG,,CN,14,0.159526,0.168961,0.002504,1890
YUASA BATTERY CO LTD,YUASA BATTERY CO LTD,,JP,16,0.130819,0.136832,0.000001,1080
SHENLI SCIENCE & TECHNOLOGY CO,SHENLI SCIENCE & TECHNOLOGY CO,,CN,16,0.125453,0.130022,0.00007,2074
NIPPON PILLAR PACKING,NIPPON PILLAR PACKING,,JP,14,0.161529,0.173821,0.000026,0
SONY CORP,SONY CORP,,JP,14,0.182316,0.201712,0.00477,1220
MITSUBISHI PENCIL CO,MITSUBISHI PENCIL CO,,JP,15,0.146765,0.154729,0.000158,1127
DU PONT CANADA,DU PONT CANADA,,CA,15,0.161144,0.169869,0,1093
TOKAI CORP,TOKAI CORP,,JP,15,0.149309,0.159487,0.000026,17
MORGAN CRUCIBLE CO,MORGAN CRUCIBLE CO,,GB,16,0.13461,0.140467,0.000263,1096
MITSUI CHEMICALS INC,MITSUI CHEMICALS INC,,JP,15,0.161365,0.174531,0.001622,22
SARTORIUS GMBH,SARTORIUS GMBH,,DE,14,0.164752,0.173754,0.000131,1160
SHENLI SCIENCE & TECHNOLOGY CO CO,SHENLI SCIENCE & TECHNOLOGY CO CO,,CN,16,0.125446,0.129953,0.000001,2074
BOSE CORP,BOSE CORP,,US,1,1,1,0,1323
SIEMENS MAGNET TECHNOLOGY LTD,SIEMENS MAGNET TECHNOLOGY LTD,,GB,2,0.888889,0.9375,0,1872
SHANGHAI SHEN LI HIGH TECH CO,SHANGHAI SHEN LI HIGH TECH CO,,CN,15,0.142856,0.149336,0.000632,2074
GENESIS FUELTECH INC,GENESIS FUELTECH INC,,US,16,0.128922,0.133376,0,89
DOOSAN HEAVY IND & CONSTR,DOOSAN HEAVY IND & CONSTR,,KR,14,0.158421,0.169572,0.000162,1941
BOSCH GMBH ROBERT,BOSCH GMBH ROBERT,,DE,13,0.209198,0.232583,0.016424,1393
PENN STATE RES FOUND,PENN STATE RES FOUND,,US,13,0.201815,0.219707,0.005825,1183
MEDI PHYSICS INC,MEDI PHYSICS INC,,US,1,1,1,0,1873
INTELLIGENT ENERGY LTD,INTELLIGENT ENERGY LTD,,GB,13,0.209612,0.232806,0.01642,1096
HANKOOK TIRE MFG CO LTD,HANKOOK TIRE MFG CO LTD,,KR,16,0.131131,0.137729,0.000276,1018
KONINKL PHILIPS ELECTRONICS NV,KONINKL PHILIPS ELECTRONICS NV,,NL,3,0.8,0.891667,0,8
SIEMENS ENERGY INC,SIEMENS ENERGY INC,,US,14,0.176115,0.187799,0.000469,1212
UTC POWER CORP LLC,UTC POWER CORP LLC,,US,13,0.209486,0.229884,0.00248,238
ROLLS ROYCE PLC,ROLLS ROYCE PLC,,GB,14,0.155321,0.164353,0.000597,2030
STILL GMBH,STILL GMBH,,DE,2,0.777778,0.857143,0,1140
KOREA ADVANCED INST OF SCIENCE & TECH,KOREA ADVANCED INST OF SCIENCE & TECH,,KR,14,0.189003,0.209641,0.005353,11
HANWHA CHEMICAL CORP,HANWHA CHEMICAL CORP,,KR,15,0.161035,0.17413,0.000611,1055
MAHLE MAHLE BEHR GMBH & CO KG KG,MAHLE MAHLE BEHR GMBH & CO KG KG,,DE,14,0.180735,0.193889,0.000603,1888
HONEYWELL INC,HONEYWELL INC,,US,13,0.194354,0.210593,0.00626,1086
AIR LIQUIDE,AIR LIQUIDE,,FR,14,0.184556,0.205445,0.015514,1141
MICHELIN RECH TECH,MICHELIN RECH TECH,,CH,14,0.148493,0.155507,0.000296,1029
PIRELLI & C SPA,PIRELLI & C SPA,,IT,16,0.128577,0.1336,0.000112,1330
STATOILHYDRO ASA,STATOILHYDRO ASA,,NO,21,0.085131,0.086916,0,2110
AMMINEX AS,AMMINEX AS,,DK,15,0.147947,0.155013,0.000054,1033
EXERGY FUEL CELLS S R L,EXERGY FUEL CELLS S R L,,IT,1,1,1,0,1874
ELECTRICITÉ DE FRANCE,ELECTRICITÉ DE FRANCE,,FR,14,0.175897,0.189709,0.001897,4
PLUG POWER INC,PLUG POWER INC,,US,13,0.19792,0.216686,0.005783,1151
FORSCHUNGSZENTRUM JÜLICH GMBH,FORSCHUNGSZENTRUM JÜLICH GMBH,,DE,13,0.192482,0.212565,0.009713,28
ASIA PACIFIC FUEL CELL TECHNOLOGIES LTD,ASIA PACIFIC FUEL CELL TECHNOLOGIES LTD,,TW,15,0.14446,0.152559,0.0012,1086
BALLARD POWERS SYSTEMS INC,BALLARD POWERS SYSTEMS INC,,CA,13,0.224199,0.254261,0.035384,1888
3M INNOVATIVE PROPERTIES CO,3M INNOVATIVE PROPERTIES CO,,US,14,0.175963,0.190798,0.004828,1111
CFC SOLUTIONS GMBH,CFC SOLUTIONS GMBH,,DE,16,0.131899,0.137515,0,1998
GS CALTEX CORP,GS CALTEX CORP,,KR,14,0.16836,0.180944,0.000094,11
BASF AG,BASF AG,,DE,14,0.181354,0.195728,0.002537,1160
UNIV MICHIGAN,UNIV MICHIGAN,,US,13,0.179603,0.191721,0.000784,1160
PEUGEOT CITROEN AUTOMOBILES SA,PEUGEOT CITROEN AUTOMOBILES SA,,FR,14,0.16173,0.173317,0.000772,4
NGK INSULATORS LTD,NGK INSULATORS LTD,,JP,15,0.163852,0.179822,0.003989,1914
IHI CORP,IHI CORP,,JP,17,0.122713,0.127606,0.000657,2198
INST FRANCAIS DU PETROLE,INST FRANCAIS DU PETROLE,,FR,14,0.167677,0.178318,0.002126,1078
DELTA ELECTRONICS INC,DELTA ELECTRONICS INC,,TW,2,0.933333,0.964286,0,2036
BASF FUEL CELL GMBH,BASF FUEL CELL GMBH,,DE,14,0.185545,0.199043,0.001641,1160
UNIV ZHONGSHAN,UNIV ZHONGSHAN,,CN,14,0.165385,0.174866,0.000182,12
JI CUI,JI CUI,,CN,1,1,1,0,9
GEN ELECTRIC,GEN ELECTRIC,,US,13,0.204303,0.226091,0.016852,1273
FUJI HEAVY IND LTD,FUJI HEAVY IND LTD,,JP,3,0.5,0.651515,0,1114
LG ELECTRONICS INC,LG ELECTRONICS INC,,KR,14,0.167157,0.180526,0.002169,1215
HEWLETT PACKARD CO,HEWLETT PACKARD CO,,US,14,0.166305,0.177642,0.00133,10
MURATA MANUFACTURING CO,MURATA MANUFACTURING CO,,JP,14,0.173446,0.189725,0.001238,1914
HYUNDAI MOTOR CO LTD,HYUNDAI MOTOR CO LTD,,KR,13,0.205676,0.237922,0.021519,11
SCHERRER INST PAUL,SCHERRER INST PAUL,,CH,14,0.173251,0.185219,0.001191,1029
VELOCYS INC,VELOCYS INC,,US,14,0.160989,0.170349,0.000083,1281
UNIV NAT SUN YAT SEN,UNIV NAT SUN YAT SEN,,TW,13,0.182678,0.195485,0.001679,12
UNIV XIAMEN,UNIV XIAMEN,,CN,18,0.107513,0.110906,0.000473,2074
UNIV ZHEJIANG,UNIV ZHEJIANG,,CN,14,0.164842,0.173833,0.000892,1189
RENTOKIL INITIAL 1927 PLC,RENTOKIL INITIAL 1927 PLC,,GB,1,1,1,0,1875
TOTO LTD,TOTO LTD,,JP,14,0.172505,0.190453,0.000457,1183
DENSO CORP,DENSO CORP,,JP,14,0.183266,0.203131,0.001953,0
ULTRACELL CORP,ULTRACELL CORP,,US,14,0.156154,0.163038,0.000089,1179
KIA MOTORS CORP,KIA MOTORS CORP,,KR,14,0.192366,0.218709,0.004033,11
LG CHEMICAL LTD,LG CHEMICAL LTD,,KR,14,0.191709,0.213815,0.022503,1215
OVONIC BATTERY CO INC,OVONIC BATTERY CO INC,,US,14,0.158048,0.16809,0.000588,648
HYPERION CATALYSIS INT L INC,HYPERION CATALYSIS INT L INC,,US,16,0.123995,0.127918,0.00035,1080
MORPHIC TECHNOLOGIES AB,MORPHIC TECHNOLOGIES AB,,SE,3,0.5,0.583333,0,13
AIR PROD & CHEM,AIR PROD & CHEM,,US,14,0.163596,0.176907,0.007441,1094
ZHU BIN,ZHU BIN,,SE,1,1,1,0,336
SAMSUNG ELECTRO MECH,SAMSUNG ELECTRO MECH,,KR,14,0.163947,0.177768,0.000308,1217
AVL LIST GMBH,AVL LIST GMBH,,AT,14,0.17932,0.195772,0.003441,1059
KOREA ATOMIC ENERGY RES,KOREA ATOMIC ENERGY RES,,KR,14,0.160714,0.173457,0.001142,3174
KOREA HYDRO & NUCLEAR POWER CO,KOREA HYDRO & NUCLEAR POWER CO,,KR,15,0.153726,0.165801,0.000043,1215
KOREA RES INST CHEM TECH,KOREA RES INST CHEM TECH,,KR,14,0.168883,0.1822,0.001171,1215
STAXERA GMBH,STAXERA GMBH,,DE,14,0.156165,0.165629,0.000097,28
JAPAN GOVERNMENT,JAPAN GOVERNMENT,,JP,16,0.122249,0.127389,0.000079,1986
ADVANCED TECH MATERIALS,ADVANCED TECH MATERIALS,,US,15,0.140493,0.148129,0.001003,423
UNIV TSINGHUA,UNIV TSINGHUA,,CN,13,0.187454,0.20282,0.007549,1189
SUISSE ELECTRONIQUE MICROTECH,SUISSE ELECTRONIQUE MICROTECH,,CH,15,0.142157,0.149267,0,4
OCEAN UNIV CHINA,OCEAN UNIV CHINA,,CN,15,0.131559,0.136194,0.000131,2074
SUMITOMO TITANIUM CORP,SUMITOMO TITANIUM CORP,,JP,16,0.123941,0.128921,0.000092,1908
SHANGHAI INST MICROSYS & INF,SHANGHAI INST MICROSYS & INF,,CN,17,0.113889,0.117577,0.000447,2074
MITSUBISHI ELECTRIC CORP,MITSUBISHI ELECTRIC CORP,,JP,15,0.155106,0.168893,0.003029,120
SIKA TECHNOLOGY AG,SIKA TECHNOLOGY AG,,CH,15,0.152086,0.160949,0.000105,1888
SHELL OIL CO,SHELL OIL CO,,US,15,0.159937,0.169352,0.000803,1033
COLUMBIAN CHEM,COLUMBIAN CHEM,,US,1,1,1,0,14
HAMILTON SUNDSTRAND CORP,HAMILTON SUNDSTRAND CORP,,US,14,0.192454,0.208254,0.000658,238
UNIV MICHIGAN STATE,UNIV MICHIGAN STATE,,US,14,0.167022,0.177258,0.001082,1096
PALO ALTO RES CT INC,PALO ALTO RES CT INC,,US,15,0.140816,0.14721,0.000584,1151
MAGNET MOTOR GMBH,MAGNET MOTOR GMBH,,DE,14,0.165601,0.175394,0,1160
JSR CORP,JSR CORP,,JP,14,0.176004,0.193421,0.000347,990
VICTREX MFG LTD,VICTREX MFG LTD,,GB,1,1,1,0,1426
ANGSTROM POWER INC,ANGSTROM POWER INC,,CA,14,0.184569,0.199103,0.000237,1096
AISIN SEIKI,AISIN SEIKI,,JP,14,0.194875,0.21804,0.002806,1393
INCO LTD,INCO LTD,,CA,17,0.115285,0.118694,0.000131,10
TESA AG,TESA AG,,DE,2,0.75,0.833333,0,1876
HELION,HELION,,FR,14,0.146784,0.154935,0.000539,1988
LIOU CHING SHIUNG,LIOU CHING SHIUNG,,TW,1,1,1,0,1521
ITN NANOVATION AG,ITN NANOVATION AG,,DE,1,1,1,0,15
CATALER CORP,CATALER CORP,,JP,14,0.181129,0.196446,0.000029,1099
NUVERA FUEL CELLS EUROP SRL,NUVERA FUEL CELLS EUROP SRL,,IT,15,0.149942,0.158351,0.000147,1330
ENERDAY GMBH,ENERDAY GMBH,,DE,14,0.156365,0.166076,0.00021,28
ANTIG TECH CO LTD,ANTIG TECH CO LTD,,TW,17,0.10966,0.114918,0.001742,146
UNI HEIDELBERG,UNI HEIDELBERG,,DE,1,1,1,0,1134
JUTISI PAUEH KOPEHREJSHN,JUTISI PAUEH KOPEHREJSHN,,US,1,1,1,0,16
G OBRAZOVATEL NOE UCHREZHDENIE,G OBRAZOVATEL NOE UCHREZHDENIE,,RU,2,0.96,0.979167,0,2644
TRUMA GERÄTETECHNIK GMBH & CO KG,TRUMA GERÄTETECHNIK GMBH & CO KG,,DE,15,0.161543,0.171744,0.000173,1888
KOREAN INSTITUTE OF SCIENCE AND TECH,KOREAN INSTITUTE OF SCIENCE AND TECH,,KR,14,0.193458,0.217898,0.009422,1047
CERES POWER LTD,CERES POWER LTD,,GB,15,0.153324,0.161704,0.00013,2030
NOKIA CORP,NOKIA CORP,,FI,2,0.888889,0.9375,0,2619
BYD CO LTD,BYD CO LTD,,CN,17,0.116292,0.120117,0.000472,2074
UTC FUEL CELLS LLC,UTC FUEL CELLS LLC,,US,13,0.209804,0.230347,0.004018,238
VEN TEK LLC,VEN TEK LLC,,US,4,0.333333,0.394737,0,1101
INO THERAPEUTICS LLC,INO THERAPEUTICS LLC,,US,2,0.703704,0.789474,0,1101
ST MICROELECTRONICS INC,ST MICROELECTRONICS INC,,US,18,0.092538,0.094406,0.000026,4
SANYO ELECRTRIC CO LTD,SANYO ELECRTRIC CO LTD,,JP,13,0.200721,0.223782,0.008063,1917
IBIDEN CO LTD,IBIDEN CO LTD,,JP,1,1,1,0,2452
ADVANCED ENERGY TECH,ADVANCED ENERGY TECH,,US,4,0.444444,0.556548,0,978
HITACHI MAXELL,HITACHI MAXELL,,JP,14,0.171065,0.186525,0.000628,648
PANZHIHUA INST OF IRON AND STE,PANZHIHUA INST OF IRON AND STE,,CN,17,0.107915,0.110701,0,1890
SHOWA DENKO KK,SHOWA DENKO KK,,JP,14,0.185217,0.20518,0.003216,38
SHANGHAI INST CERAMIC CHEM,SHANGHAI INST CERAMIC CHEM,,CN,2,0.916667,0.954545,0,2700
DAINIPPON PRINTING CO LTD,DAINIPPON PRINTING CO LTD,,JP,14,0.161661,0.174385,0.000628,1098
TEXACO INC,TEXACO INC,,US,13,0.174502,0.185511,0.000752,2135
CORNELL RES FOUNDATION INC,CORNELL RES FOUNDATION INC,,US,17,0.123723,0.127774,0,1086
MODINE MFG CO,MODINE MFG CO,,US,15,0.163419,0.174232,0.000152,1888
SGL CARBON AG,SGL CARBON AG,,DE,15,0.150011,0.158454,0.000571,1888
DU PONT,DU PONT,,US,13,0.208206,0.22816,0.008383,1093
FUELCELL ENERGY INC,FUELCELL ENERGY INC,,US,13,0.188437,0.203399,0.00408,987
DAIDO METAL CO LTD,DAIDO METAL CO LTD,,JP,1,1,1,0,1877
CONTINENTAL AUTOMOTIVE SYSTEMS,CONTINENTAL AUTOMOTIVE SYSTEMS,,US,15,0.151302,0.159214,0.000053,998
DAIKIN IND LTD,DAIKIN IND LTD,,JP,14,0.180721,0.198601,0.001209,38
UNIV LELAND STANFORD JUNIOR,UNIV LELAND STANFORD JUNIOR,,US,13,0.192751,0.210253,0.000794,990
UNIV IND & ACAD COLLABORATION,UNIV IND & ACAD COLLABORATION,,KR,15,0.144232,0.152617,0.000154,1941
JAPAN STEEL WORKS LTD,JAPAN STEEL WORKS LTD,,JP,14,0.171692,0.187195,0.001363,22
FUELMAKER CORP,FUELMAKER CORP,,CA,2,0.882353,0.933333,0,1909
LAKSFER INK,LAKSFER INK,,US,1,1,1,0,1878
PEMEAS GMBH,PEMEAS GMBH,,DE,14,0.185972,0.199364,0.001666,1160
ACAL ENERGY LTD,ACAL ENERGY LTD,,GB,15,0.149115,0.156388,0.000424,975
MITSUBISHI RAYON CO,MITSUBISHI RAYON CO,,JP,14,0.161871,0.174996,0.000444,2767
INST PROCESS ENG CAS,INST PROCESS ENG CAS,,CN,2,0.75,0.833333,0,3551
HITACHI LTD,HITACHI LTD,,JP,14,0.180977,0.203383,0.007798,17
OORJA PROTONICS INC,OORJA PROTONICS INC,,US,15,0.132356,0.137098,0.000026,1151
TOSHIBA KK,TOSHIBA KK,,JP,13,0.209075,0.236314,0.014808,1914
HYDROGENICS CORP,HYDROGENICS CORP,,CA,15,0.152431,0.161028,0.001821,1032
HYRADIX INC,HYRADIX INC,,US,16,0.122508,0.126394,0,998
RAUFOSS COMPOSITES AS,RAUFOSS COMPOSITES AS,,NO,2,0.666667,0.75,0,1880
ALBERTA RES COUNCIL,ALBERTA RES COUNCIL,,CA,15,0.157153,0.166032,0.000173,1888
TOKYO GAS CO LTD,TOKYO GAS CO LTD,,JP,15,0.164032,0.178034,0.001078,2198
SAUDI ARABIAN OIL CO,SAUDI ARABIAN OIL CO,,SA,13,0.17108,0.183208,0.001931,4
MAHLE BEHR GMBH & CO KG,MAHLE BEHR GMBH & CO KG,,DE,14,0.165796,0.17605,0.000127,1888
PROTON ENERGY SYS INC,PROTON ENERGY SYS INC,,US,14,0.176611,0.188447,0.001688,238
SUPERIOR MICROPOWDERS LLC,SUPERIOR MICROPOWDERS LLC,,US,15,0.14671,0.155112,0.000005,53
ALLIED SIGNAL INC,ALLIED SIGNAL INC,,US,13,0.189244,0.203079,0.004227,238
ZAKRYTOE AKSIONERNOE OBSCHESTV,ZAKRYTOE AKSIONERNOE OBSCHESTV,,RU,18,0.109179,0.11314,0.00021,293
POLESTAR LTD,POLESTAR LTD,,BM,1,1,1,0,1169
ARKEMA INC,ARKEMA INC,,US,15,0.1401,0.147806,0.000845,4
HONEYWELL NORMALAIR GARRETT,HONEYWELL NORMALAIR GARRETT,,GB,16,0.133386,0.138238,0,10
DONALDSON CO INC,DONALDSON CO INC,,US,1,1,1,0,2014
UNI CHEMICAL CO LTD,UNI CHEMICAL CO LTD,,JP,15,0.132414,0.139194,0,1110
CONVERSION GAS IMP S L L C,CONVERSION GAS IMP S L L C,,US,3,0.583333,0.690476,0,1226
TECSIS TECNOLOGIA SIST S AVA,TECSIS TECNOLOGIA SIST S AVA,,BR,2,0.75,0.833333,0,1383
ARKEMA FRANS,ARKEMA FRANS,,FR,14,0.150614,0.160292,0.000552,4
CELLSTROM GMBH,CELLSTROM GMBH,,AT,17,0.119898,0.124483,0.000011,1888
NEWSOUTH INNOVATIONS PTY LTD,NEWSOUTH INNOVATIONS PTY LTD,,AU,18,0.092295,0.094166,0.000079,1137
P 21 POWER FOR THE 21ST CENTURY GMBH,P 21 POWER FOR THE 21ST CENTURY GMBH,,DE,13,0.175929,0.187751,0.000625,1089
IBT CO LTD,IBT CO LTD,,KR,15,0.146137,0.155298,0,1941
GEESTHACHT GKSS FORSCHUNG,GEESTHACHT GKSS FORSCHUNG,,DE,14,0.167608,0.177782,0.001125,1057
GFE MET & MAT GMBH,GFE MET & MAT GMBH,,DE,14,0.164154,0.173327,0.000017,1057
FERRO GMBH,FERRO GMBH,,DE,1,1,1,0,1881
CLAUSTHALER UMWELTTECHNIK INST,CLAUSTHALER UMWELTTECHNIK INST,,DE,17,0.109035,0.111647,0,28
UNIV SUZHOU,UNIV SUZHOU,,CN,1,1,1,0,1882
ALTERGY SYSTEMS,ALTERGY SYSTEMS,,US,14,0.163095,0.172016,0.000247,89
TICONA GMBH,TICONA GMBH,,DE,2,0.615385,0.6875,0,3318
EIDGENOESS TECH HOCHSCHULE,EIDGENOESS TECH HOCHSCHULE,,CH,15,0.143278,0.149732,0.000289,1141
UNIV SHANDONG TECHNOLOGY,UNIV SHANDONG TECHNOLOGY,,CN,16,0.130595,0.135214,0.000033,1273
KAWASAKI HEAVY IND LTD,KAWASAKI HEAVY IND LTD,,JP,14,0.169747,0.185535,0.001606,1328
UNIV DALIAN SCIENCE & ENG,UNIV DALIAN SCIENCE & ENG,,CN,1,1,1,0,1883
SHENGGUANG SCIENCE & TECHNOLOG,SHENGGUANG SCIENCE & TECHNOLOG,,KY,19,0.089951,0.092573,0.000053,146
CERES IP CO LTD,CERES IP CO LTD,,GB,14,0.166169,0.177554,0.002238,2030
IDEMITSU KOSAN CO,IDEMITSU KOSAN CO,,JP,16,0.128723,0.135718,0.000674,1213
TOUCHSTONE RES LAB LTD,TOUCHSTONE RES LAB LTD,,US,1,1,1,0,1884
TOPSØE FUEL CELL AS,TOPSØE FUEL CELL AS,,DK,14,0.163946,0.175195,0.00223,1033
